Name,Country,Born,Order,Consistory,Office,Country,Region,L1_Tags,L1_Scores,L2_Tags,L2_Scores,L3_Tags,L3_Scores,L4_Tags,L4_Scores,L5_Tags,L5_Scores,Paragraph
Kurt Koch,Switzerland,15 March 1950,CP,20 November 2010 Benedict XVI,Prefect of the Dicastery for Promoting Christian Unity,Switzerland,Europe,EU_WEST_NORDIC,0.82,INST_CUR_PREF,0.92,DOCT_CONSERV;REF_STATUS_QUO;SOC_DIPLO_REAL,0.85;0.71;0.45,NET_FOC;NET_SANT;NET_COMMUNIO,0.55;0.45;0.4,FAC_CURIA_DIPLO;FAC_IDE_TRAD,0.45;0.3,"Swiss Cardinal Kurt Koch, long-time head of the Vatican’s ecumenism dicastery, is widely seen as a doctrinal conservative shaped by Benedict XVI. He has repeatedly warned the German Synodal Path against proposals for women’s ordination or same-sex blessings, insisting that revealed teaching cannot be re-engineered. In governance questions he stresses the need for universal-church cohesion and criticises excessive decentralisation, favouring Rome’s coordinating role. His portfolio demands dialogue, yet his diplomatic pragmatism serves unity without conceding on contested doctrine."
Kazimierz Nycz,Poland,1 February 1950,CP,20 November 2010 Benedict XVI,Archbishop emeritus of Warsaw,Poland,Europe,EU_CEE_BALK,0.8,INST_EMERITUS,0.93,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.78;0.72;0.45,NET_NONE,0.6,,,"Cardinal Nycz presents a morally conservative profile, repeatedly affirming Church teaching on marriage, abortion and bio-ethics while distancing himself from calls to bless same-sex couples. Socially, he foregrounds Gospel-rooted solidarity, leading diocesan initiatives for migrants and war-displaced Ukrainians and invoking Laudato Si’ on stewardship—placing him in the Polish hierarchy’s social-justice wing. On governance, he welcomes Pope Francis’ synodal consultations but cautions that ultimate doctrinal decisions must remain with the Holy See, reflecting a preference for incremental, centrally anchored reform."
Malcolm Ranjith,Sri Lanka,15 November 1947,CP,20 November 2010 Benedict XVI,Archbishop of Colombo,Sri Lanka,South Asia,SOUTH_ASIA,0.92,INST_RES_CAPITAL,0.79,DOCT_TRAD;SOC_POP_NATL;REF_STATUS_QUO,0.82;0.48;0.35,NET_NONE,0.8,FAC_IDE_TRAD;FAC_REG_ASIA;FAC_IDE_BURKE_SARAH,0.55;0.45;0.22,"Cardinal Malcolm Ranjith is widely viewed as a traditional-leaning prelate. A former liturgy official, he repeatedly defends pre-conciliar ritual forms and critiques post-Vatican II innovations, framing them as threats to doctrinal integrity. Domestically he links Catholic identity to Sri Lanka’s cultural patrimony, endorsing policies such as a cattle-slaughter ban in language that echoes populist-national sentiment. While loyal to the Pope, he voices concern about decentralising reforms, cautioning that synodal experiments like the German path could fracture Church unity."
Reinhard Marx,Germany,21 September 1953,CP,20 November 2010 Benedict XVI,Archbishop of Munich and Freising and Coordinator of the Council for the Economy,Germany,Europe,EU_WEST_NORDIC,0.92,INST_RES_CAPITAL,0.78,DOCT_PROGRESS;REF_MAX;SOC_ECON_LEFT,0.92;0.85;0.65,NET_NONE,0.9,FAC_IDE_PROGRESS;FAC_CURIA_ADMIN,0.82;0.52,"Cardinal Reinhard Marx is a prominent progressive prelate. He supports blessings for same-sex couples, urges a re-evaluation of Catholic sexual ethics and signals openness to women’s ministries. As a leading architect of Germany’s Synodal Path, he argues for stronger decentralisation and binding lay participation in Church governance. His published economic writings advance a social-market critique of neoliberal capitalism and advocate regulation that prioritises the common good. Together these positions place him among the Church’s progressive, synodal-maximalist and economically centre-left currents."
João Braz de Aviz,Brazil,24 April 1947,CP,18 February 2012 Benedict XVI,Prefect emeritus of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,Brazil,South America,SOUTH_AMERICA,0.85,INST_EMERITUS,0.83,DOCT_PROGRESS;REF_MAX;SOC_MERCY,0.72;0.63;0.56,NET_FOC,0.55,FAC_IDE_PROGRESS;FAC_REG_LATAM_CONT,0.72;0.63,"Cardinal João Braz de Aviz is generally viewed as a moderate progressive voice in the Roman Curia. He supports continued study of women’s diaconate, stresses pastoral inclusion of LGBT members in religious institutes, and rarely frames issues in culture-war terms. In talks on the Synod, he underlines listening, shared discernment and a shift of authority toward local churches, indicating sympathy for synodal-maximalist aims. His language is deeply shaped by Pope Francis’ “field-hospital” vision, prioritising mercy and accompaniment over disciplinary approaches."
Thomas Collins,Canada,16 January 1947,CP,18 February 2012 Benedict XVI,Archbishop emeritus of Toronto,Canada,USA / Canada,USA_CANADA,0.92,INST_EMERITUS,0.93,DOCT_CONSERV;REF_STATUS_QUO,0.83;0.58,NET_NONE,0.45,FAC_IDE_TRAD,0.18,"A veteran Scripture scholar, Cardinal Collins consistently upholds traditional Catholic teaching on life, marriage and sexuality, urging resistance to Canada’s abortion and euthanasia laws and counselling fidelity to Humanae Vitae. While supportive of Pope Francis’s call to listen and accompany, he stresses hierarchical communion and cautions against reforms that could dilute Rome’s doctrinal oversight. His public record therefore marks him as a doctrinal conservative who favours the existing centralized governance model rather than far-reaching synodal decentralisation."
Wim Eijk,Netherlands,22 June 1953,CP,18 February 2012 Benedict XVI,Archbishop of Utrecht,Netherlands,Europe,EU_WEST_NORDIC,0.8,INST_RES_PRIMATE,0.78,DOCT_CONSERV;REF_STATUS_QUO,0.88;0.6,NET_NONE,0.8,FAC_IDE_TRAD,0.55,"A former physician-ethicist, Cardinal Eijk is an unambiguous defender of Catholic moral doctrine. He opposes same-sex blessings, resists any re-reading of Humanae Vitae or intercommunion liberalisation, and publicly warned that the German Synodal Path could provoke schism. His repeated appeals for stronger papal intervention reveal a preference for retaining Rome-centred authority rather than devolving decision-making to local churches. This combination of firm doctrinal conservatism and inclination toward the existing governance model situates him among the Church’s conservative, status-quo hierarchy."
Giuseppe Betori,Italy,25 February 1947,CP,18 February 2012 Benedict XVI,Archbishop emeritus of Florence,Italy,Europe,EU_ITALY,0.92,INST_EMERITUS,0.92,DOCT_CONSERV;REF_STATUS_QUO,0.83;0.46,NET_NONE,0.8,FAC_REG_ITALY_RES;FAC_IDE_TRAD,0.55;0.22,"Once secretary-general of Italy’s bishops and later archbishop of Florence, Cardinal Betori usually stresses continuity with John Paul II on life, family and sexual ethics, warning against redefining marriage or liberalising euthanasia. He voices loyalty to papal authority but is uneasy about far-reaching structural changes, preferring the existing Roman-centred model. His interventions therefore place him in the cautious, doctrinally conservative current rather than the traditionalist fringe. x x x x"
Timothy Dolan,United States,6 February 1950,CP,18 February 2012 Benedict XVI,Archbishop of New York,United States,USA / Canada,USA_CANADA,0.93,INST_RES_CAPITAL,0.93,DOCT_CONSERV;REF_STATUS_QUO,0.88;0.65,NET_NONE,0.2,FAC_IDE_TRAD,0.25,"Cardinal Timothy Dolan is widely viewed as a cheerful but doctrinally hard-line shepherd. He consistently upholds Church teaching on abortion, contraception, and traditional marriage, arguing that any change would erode credibility. While supportive of Pope Francis’ call to listen, he stresses that synodality must remain consultative and centred on Rome, signalling preference for the existing governance model rather than sweeping decentralisation. His public record therefore places him firmly in the conservative camp with an institutional, status-quo approach to Church reform."
Rainer Woelki,Germany,18 August 1956,CP,18 February 2012 Benedict XVI,Archbishop of Cologne,Germany,Europe,EU_WEST_NORDIC,0.92,INST_RES_CAPITAL,0.78,DOCT_CONSERV;REF_STATUS_QUO;SOC_SOCJUS,0.92;0.83;0.46,NET_NEOCAT,0.55,FAC_IDE_TRAD,0.55,"Cardinal Rainer Woelki is viewed as one of Germany’s most doctrinally conservative bishops. He defends Humanae Vitae, opposes same-sex liturgical blessings and has publicly resisted the German Synodal Path’s calls for structural or moral change, citing the need for unity with Rome and incremental reform. At the same time he keeps a strong Caritas profile, repeatedly advocating generous treatment of refugees and broader social solidarity. Overall his stance blends moral conservatism and institutional centralism with a measured concern for migrants and the poor."
James Michael Harvey,United States,20 October 1949,CP,24 November 2012 Benedict XVI,Archpriest of the Papal Basilica of Saint Paul Outside the Walls,United States,USA / Canada,USA_CANADA,0.78,INST_AUX,0.78,REF_STATUS_QUO;DOCT_CONSERV;SOC_DIPLO_REAL,0.55;0.5;0.4,NET_NONE,0.55,FAC_CURIA_ADMIN;FAC_CURIA_DIPLO,0.75;0.6,"A long-time Vatican official, Cardinal Harvey has consistently stressed fidelity to the Pope and the established structures of Roman governance. In interviews and public remarks he defends incremental reform over sweeping change, and echoes John Paul II and Benedict XVI on moral questions, signalling a generally conservative theological bent. His diplomatic training also surfaces in calls for prudence and dialogue in international affairs, reflecting a pragmatic, nuncio-style realism rather than culture-war rhetoric."
Baselios Cleemis,India,15 June 1959,CP,24 November 2012 Benedict XVI,Major Archbishop of Trivandrum (Syro-Malankara Church),India,South Asia,SOUTH_ASIA,0.93,INST_PAT,0.92,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.78;0.73;0.45,NET_FABC,0.46,FAC_REG_ASIA;FAC_IDE_GLOBAL_JUSTICE,0.55;0.3,"Baselios Cardinal Cleemis upholds classic moral teaching while voicing a strong social concern. He has publicly condemned abortion, euthanasia and same-sex blessings, linking fidelity to doctrine with loyalty to the Pope’s authority. As a former president of India’s bishops he tends to favour cautious, centrally guided reform rather than structural overhauls. At the same time, his speeches consistently stress the Church’s duty to defend Dalit and tribal rights, fight poverty and protect the environment amid India’s rapid development."
Gerhard Ludwig Müller,Germany,31 December 1947,CP,22 February 2014 Francis,Prefect emeritus of the Congregation for the Doctrine of the Faith,Germany,Europe,EU_WEST_NORDIC,0.8,INST_EMERITUS,0.85,DOCT_CONSERV;REF_STATUS_QUO;SOC_POP_NATL,0.91;0.78;0.48,NET_COMMUNIO;NET_NEOCAT,0.55;0.25,FAC_CURIA_DOCTRINE;FAC_IDE_TRAD;FAC_IDE_BURKE_SARAH,0.85;0.75;0.45,"Former CDF prefect Cardinal Gerhard L. Müller styles himself as a custodian of doctrinal continuity. His 2019 “Manifesto of Faith” reiterates the immutability of Catholic teaching on marriage, sexuality and bio-ethics, and he firmly backed the CDF ban on blessing same-sex unions. He repeatedly criticises the German Synodal Path, arguing that national bodies may not refashion doctrine and must remain under papal authority—reflecting a preference for the current centralised model. In culture-war terms he warns that relativist elites and uncontrolled migration imperil Europe’s Christian identity."
Vincent Nichols,United Kingdom,8 November 1945,CP,22 February 2014 Francis,Archbishop of Westminster,United Kingdom,Europe,EU_WEST_NORDIC,0.85,INST_RES_CAPITAL,0.87,DOCT_CONSERV;REF_STATUS_QUO;SOC_SOCJUS,0.83;0.65;0.55,NET_NEOCAT,0.42,FAC_IDE_PROGRESS,0.42,"Cardinal Vincent Nichols generally occupies the Church’s conservative main-stream. He publicly affirms traditional teaching on marriage and opposes same-sex blessings, stressing fidelity to settled doctrine. During the global synodal process he has welcomed consultation but warned against nationally driven innovations that could fracture communion, signalling a preference for Rome-led, incremental reform. At home he speaks frequently on poverty, migration and wages, invoking Catholic Social Teaching to challenge economic policies he sees as neglecting society’s most vulnerable."
Leopoldo Brenes,Nicaragua,7 March 1949,CP,22 February 2014 Francis,Archbishop of Managua,Nicaragua,Central America,CENTRAL_AMERICA,0.92,INST_RES_CAPITAL,0.82,SOC_DIPLO_REAL;SOC_SOCJUS;REF_STATUS_QUO,0.8;0.6;0.42,NET_NEOCAT,0.45,FAC_REG_LATAM_CONT;FAC_IDE_GLOBAL_JUSTICE;FAC_IDE_PROGRESS,0.7;0.45;0.3,"Cardinal Brenes navigates Nicaragua’s fraught political landscape with cautious diplomacy, repeatedly urging negotiation and peace rather than open confrontation with the Ortega government. His preaching stresses the Church’s duty to stand alongside the poor, critiquing social inequities in line with Pope Francis’ social-justice agenda. Doctrinally he signals loyalty to Rome’s current magisterium without pushing bold structural or theological innovations, reflecting a generally status-quo approach to ecclesial governance while supporting the synodal journey in a measured, centralised framework."
Gérald Lacroix ISPX,Canada,27 July 1957,CP,22 February 2014 Francis,Archbishop of Quebec,Canada,USA / Canada,USA_CANADA,0.93,INST_RES_PRIMATE,0.78,SOC_SOCJUS;REF_MAX;DOCT_CONSERV,0.78;0.61;0.55,NET_NONE,0.8,FAC_IDE_PROGRESS,0.45,"Cardinal Lacroix is a close Francis ally who foregrounds reconciliation with Indigenous peoples, migrants and the poor, regularly invoking Laudato Si’ and speaking of structural injustices that demand ecological and social conversion. In the global synodal process he pushes for broad listening and lay co-responsibility, arguing that legitimate decentralisation will strengthen, not dilute, Church unity. At the same time he defends traditional bio-ethical teaching, forcefully opposing euthanasia and assisted suicide, which places him in a moderate conservative–reformist centre."
Jean-Pierre Kutwa,Ivory Coast,22 December 1945,CP,22 February 2014 Francis,Archbishop emeritus of Abidjan,Ivory Coast,Africa,AFRICA,0.92,INST_EMERITUS,0.82,SOC_DIPLO_REAL;SOC_SOCJUS;DOCT_CONSERV,0.68;0.5;0.42,NET_NONE,0.8,FAC_REG_AFRICA;FAC_IDE_GLOBAL_JUSTICE,0.48;0.26,"Cardinal Kutwa is chiefly known as a conciliatory voice in Ivory Coast’s turbulent politics, repeatedly calling politicians and rebels to dialogue and national reconciliation. His preaching highlights social cohesion, care for the poor and migrants, aligning him with Pope Francis’ broader social-justice accent. On moral theology he has publicly upheld traditional Church teaching on marriage and family, signalling a basically conservative doctrinal outlook while avoiding culture-war rhetoric. Overall, he blends pragmatic diplomacy and social concern with moderate doctrinal conservatism."
Orani João Tempesta OCist,Brazil,23 June 1950,CP,22 February 2014 Francis,Archbishop of São Sebastião do Rio de Janeiro,Brazil,South America,SOUTH_AMERICA,0.85,INST_RES_CAPITAL,0.8,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.72;0.56;0.3,NET_NEOCAT;NET_SHALOM,0.55;0.25,FAC_REG_LATAM_CONT;FAC_IDE_PROGRESS;FAC_IDE_GLOBAL_JUSTICE,0.55;0.25;0.18,"Cardinal Tempesta exemplifies mainstream Brazilian Catholicism. He consistently upholds Church teaching on abortion and marriage and shows little enthusiasm for doctrinal experimentation. Simultaneously, invoking Laudato Si’ and CELAM language, he speaks often about urban poverty, migrant solidarity and care for creation, directing archdiocesan projects toward those goals. On governance he supports Pope Francis’ reforms in principle, yet warns against fragmentation and favours incremental, centrally coordinated change. The mix yields a morally conservative but socially engaged stance with preference for institutional continuity."
Mario Aurelio Poli,Argentina,29 November 1947,CP,22 February 2014 Francis,Archbishop emeritus of Buenos Aires,Argentina,South America,SOUTH_AMERICA,0.92,INST_EMERITUS,0.93,DOCT_CONSERV;SOC_SOCJUS;REF_STATUS_QUO,0.82;0.75;0.45,NET_NONE,0.85,FAC_REG_LATAM_CONT;FAC_IDE_PROGRESS;FAC_IDE_GLOBAL_JUSTICE,0.75;0.45;0.3,"Cardinal Mario Poli largely mirrors Pope Francis’ blend of doctrinal caution and robust social concern. He has led high-profile ‘Misas por la Vida’, lobbying against Argentina’s abortion and euthanasia bills, evidencing a firmly pro-life, conservative bio-ethical line. At the same time his homilies and conference interventions regularly denounce structural poverty and call for an ‘economy at the service of the people’, situating him within the Latin-American social-justice current. On governance he avoids sweeping structural reforms, preferring steady, collegial continuity within the existing Roman framework."
